respondent_id,completion_time_seconds,q01_original_q02_rules_understanding,q02_original_q02_task_engagement,q03_original_q02_non_target_ball_attention,q04_original_q02_ball_size_attention,q05_original_q03_harder_condition,q06_original_q04_response_strategy,q07_original_q13_gravity_understanding,q08_original_q14_zero_gravity_understanding,q09_original_q15_judgment_basis,q10_original_q16_perceived_motion,q11_original_q17_post_confidence_adjustment,q12_original_q18_confidence_seriousness
P145,205,Strongly matches,Strongly matches,Strongly matches,Neutral,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Never,Almost every time
P146,3484,Somewhat matches,Somewhat matches,Somewhat does not match,Somewhat matches,Gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Post-collision motion trend|Candidate landing positions and distance,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Almost every time
P147,419,Neutral,Strongly matches,Somewhat matches,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Candidate landing positions and distance|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Almost every time
P148,414,Strongly matches,Strongly matches,Somewhat matches,Strongly matches,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Post-collision motion trend|Whether post-collision motion remained approximately constant-speed,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Almost every time
P149,3933,Neutral,Neutral,Somewhat matches,Somewhat matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Pre-collision direction and speed|Post-collision motion trend|Intuition or guess,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Never,Often
P150,384,Strongly matches,Strongly matches,Strongly matches,Strongly matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Often
P151,187,Strongly matches,Somewhat matches,Somewhat matches,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Post-collision motion trend|Relationship between the two ball sizes,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Sometimes,Often
P152,77,Neutral,Neutral,Neutral,Neutral,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Post-collision motion trend,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Often
P153,262,Strongly matches,Strongly matches,Strongly does not match,Strongly does not match,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Post-collision motion trend,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Almost every time
P154,6154,Neutral,Strongly matches,Somewhat matches,Somewhat matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Almost every time,Almost every time
P155,389,Somewhat matches,Somewhat matches,Neutral,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Candidate landing positions and distance|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Often
P156,3506,Neutral,Strongly matches,Somewhat does not match,Somewhat matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Post-collision motion trend,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Almost every time
P157,338,Somewhat matches,Somewhat matches,Neutral,Neutral,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Post-collision motion trend|Candidate landing positions and distance,I thought the balls in both conditions were affected by gravity,Never,Sometimes
P158,507,Somewhat matches,Somewhat matches,Somewhat does not match,Strongly matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision under zero or microgravity; downward gravity need not be considered,"2D plane motion after collision, like billiards",Pre-collision direction and speed|Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Often
P159,778,Somewhat does not match,Neutral,Somewhat matches,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Never,Often
P160,382,Strongly matches,Strongly matches,Strongly matches,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Post-collision motion trend|Candidate landing positions and distance,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Often
P161,618,Somewhat matches,Strongly matches,Somewhat does not match,Strongly matches,Zero gravity,Take more time to ensure accuracy,"2D plane motion after collision, like billiards",3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,I thought the balls in both conditions were affected by gravity,Sometimes,Often
P162,6975,Neutral,Neutral,Somewhat does not match,Somewhat matches,Gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Sometimes
P163,260,Somewhat does not match,Somewhat matches,Strongly does not match,Strongly does not match,Zero gravity,Take more time to ensure accuracy,"2D plane motion after collision, like billiards",3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Post-collision motion trend|Candidate landing positions and distance,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Sometimes
P164,106,Neutral,Somewhat matches,Strongly does not match,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Candidate landing positions and distance,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Sometimes
P165,10465,Neutral,Neutral,Neutral,Neutral,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,Relationship between the two ball sizes|Intuition or guess,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Sometimes,Rarely
P166,5073,Somewhat matches,Somewhat matches,Somewhat does not match,Neutral,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Candidate landing positions and distance|Patterns or experience from previous trials,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Sometimes
P167,7263,Strongly does not match,Neutral,Somewhat does not match,Somewhat matches,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Pre-collision direction and speed|Downward gravity or acceleration|Post-collision motion trend,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Never,Never
P168,548,Somewhat matches,Somewhat matches,Somewhat matches,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Almost every time
P169,372,Somewhat matches,Somewhat matches,Somewhat does not match,Neutral,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Pre-collision direction and speed|Candidate landing positions and distance|Patterns or experience from previous trials,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Sometimes,Often
P170,126,Somewhat matches,Strongly matches,Somewhat matches,Neutral,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Post-collision motion trend,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Almost every time
P171,559,Somewhat does not match,Somewhat matches,Strongly does not match,Strongly matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Post-collision motion trend|Candidate landing positions and distance|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Often
P172,6058,Neutral,Somewhat does not match,Somewhat matches,Somewhat matches,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Almost every time
P173,422,Somewhat does not match,Neutral,Somewhat matches,Neutral,Zero gravity,Answer quickly but risk errors,"2D plane motion after collision, like billiards",3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Post-collision motion trend|Relationship between the two ball sizes,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Sometimes,Often
P174,171,Somewhat matches,Somewhat matches,Somewhat does not match,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Post-collision motion trend|Relationship between the two ball sizes|Intuition or guess,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Often
P175,270,Somewhat matches,Somewhat matches,Neutral,Somewhat matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Often
P176,94,Neutral,Neutral,Neutral,Neutral,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Candidate landing positions and distance,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Rarely
P177,600,Somewhat matches,Somewhat matches,Somewhat does not match,Somewhat matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Pre-collision direction and speed|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Often
P178,2666,Strongly matches,Somewhat matches,Neutral,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,Pre-collision direction and speed|Post-collision motion trend|Relationship between the two ball sizes,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Sometimes,Often
P179,184,Strongly matches,Strongly matches,Neutral,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Often
P180,4709,Somewhat matches,Somewhat matches,Somewhat matches,Somewhat matches,Gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Pre-collision direction and speed|Post-collision motion trend|Candidate landing positions and distance,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Sometimes
P181,225,Neutral,Somewhat matches,Strongly does not match,Somewhat matches,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Pre-collision direction and speed|Downward gravity or acceleration,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Almost every time
P182,4636,Strongly matches,Strongly matches,Somewhat does not match,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Candidate landing positions and distance|Patterns or experience from previous trials,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Often
P183,618,Somewhat does not match,Strongly matches,Somewhat does not match,Strongly matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Post-collision motion trend|Candidate landing positions and distance|Relationship between the two ball sizes,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Never,Almost every time
P184,7258,Neutral,Somewhat matches,Somewhat does not match,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Post-collision motion trend|Candidate landing positions and distance|Relationship between the two ball sizes,I did not clearly perceive different motion rules between the two conditions,Rarely,Often
P185,759,Neutral,Somewhat matches,Neutral,Strongly does not match,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Post-collision motion trend,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Sometimes
P186,265,Somewhat does not match,Somewhat matches,Somewhat does not match,Somewhat matches,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Almost every time
P187,196,Somewhat matches,Somewhat matches,Somewhat matches,Somewhat matches,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Almost every time
P188,5522,Somewhat matches,Somewhat matches,Somewhat matches,Neutral,Gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,Abstract motion unrelated to a physical scene,Post-collision motion trend|Patterns or experience from previous trials,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Rarely,Almost every time
P189,359,Somewhat matches,Somewhat matches,Strongly does not match,Somewhat matches,Zero gravity,Take more time to ensure accuracy,"2D plane motion after collision, like billiards","2D plane motion after collision, like billiards",Pre-collision direction and speed|Post-collision motion trend|Relationship between the two ball sizes,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Sometimes,Often
P190,375,Neutral,Somewhat matches,Somewhat matches,Neutral,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Post-collision motion trend|Candidate landing positions and distance|Intuition or guess,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Often
P191,2452,Somewhat matches,Somewhat matches,Neutral,Somewhat does not match,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Often
P192,281,Strongly matches,Strongly matches,Neutral,Somewhat matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Post-collision motion trend,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Often
P193,6222,Somewhat matches,Somewhat matches,Somewhat does not match,Somewhat matches,Gravity,Take more time to ensure accuracy,3D motion after collision under zero or microgravity; downward gravity need not be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Post-collision motion trend|Candidate landing positions and distance|Relationship between the two ball sizes,I thought the balls in neither condition were affected by gravity,Sometimes,Often
P194,429,Somewhat matches,Somewhat matches,Strongly does not match,Strongly matches,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Pre-collision direction and speed|Relationship between the two ball sizes|Patterns or experience from previous trials,I thought the balls in both conditions were affected by gravity,Sometimes,Often
P195,8054,Somewhat does not match,Somewhat matches,Somewhat matches,Strongly matches,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Pre-collision direction and speed|Post-collision motion trend|Intuition or guess,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Often,Sometimes
P196,560,Somewhat matches,Somewhat matches,Somewhat does not match,Somewhat matches,Gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Sometimes
P197,5819,Neutral,Neutral,Neutral,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Relationship between the two ball sizes,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Sometimes,Sometimes
P198,306,Somewhat matches,Somewhat matches,Somewhat matches,Somewhat matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Candidate landing positions and distance|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Often
P199,4789,Somewhat matches,Somewhat matches,Neutral,Neutral,Gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Pre-collision direction and speed|Downward gravity or acceleration|Candidate landing positions and distance,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Sometimes,Often
P200,412,Neutral,Somewhat matches,Somewhat does not match,Somewhat matches,Zero gravity,Answer quickly but risk errors,"2D plane motion after collision, like billiards",Abstract motion unrelated to a physical scene,Post-collision motion trend|Relationship between the two ball sizes|Intuition or guess,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Never,Often
P201,5797,Strongly does not match,Somewhat matches,Somewhat does not match,Strongly matches,Zero gravity,Take more time to ensure accuracy,"2D plane motion after collision, like billiards",3D motion after collision with downward gravitational acceleration; downward gravity should be considered,Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,I thought the balls in both conditions were affected by gravity,Sometimes,Often
P202,690,Somewhat matches,Somewhat matches,Somewhat matches,Somewhat matches,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,Pre-collision direction and speed|Post-collision motion trend,I did not clearly perceive different motion rules between the two conditions,Sometimes,Often
P203,349,Somewhat does not match,Somewhat matches,Strongly does not match,Somewhat matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Post-collision motion trend,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Often
P204,4602,Neutral,Somewhat matches,Neutral,Somewhat matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Intuition or guess,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Sometimes
P205,460,Strongly does not match,Strongly matches,Somewhat does not match,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Post-collision motion trend|Relationship between the two ball sizes|Patterns or experience from previous trials,I thought the balls in both conditions were affected by gravity,Often,Almost every time
P206,668,Neutral,Neutral,Somewhat does not match,Somewhat does not match,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Candidate landing positions and distance|Intuition or guess,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Often
P207,299,Neutral,Strongly matches,Neutral,Neutral,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Whether post-collision motion remained approximately constant-speed|Candidate landing positions and distance,I thought the balls in both conditions were affected by gravity,Rarely,Sometimes
P208,305,Somewhat matches,Somewhat matches,Strongly does not match,Somewhat matches,Gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Post-collision motion trend|Candidate landing positions and distance,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Often
P209,3664,Strongly matches,Strongly matches,Somewhat matches,Strongly matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,Pre-collision direction and speed|Post-collision motion trend|Relationship between the two ball sizes,I thought the balls in neither condition were affected by gravity,Sometimes,Often
P210,5293,Strongly matches,Strongly matches,Strongly matches,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Almost every time
P211,587,Somewhat does not match,Somewhat does not match,Neutral,Somewhat matches,Gravity,Answer quickly but risk errors,"2D plane motion after collision, like billiards",3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Post-collision motion trend|Relationship between the two ball sizes,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Sometimes,Sometimes
P212,217,Neutral,Somewhat matches,Somewhat does not match,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision under zero or microgravity; downward gravity need not be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Relationship between the two ball sizes|Intuition or guess,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Often
P213,332,Neutral,Somewhat matches,Neutral,Strongly matches,Zero gravity,Answer quickly but risk errors,Abstract motion unrelated to a physical scene,Abstract motion unrelated to a physical scene,Patterns or experience from previous trials|Intuition or guess,I did not clearly perceive different motion rules between the two conditions,Sometimes,Almost every time
P214,4021,Strongly does not match,Somewhat matches,Somewhat does not match,Neutral,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Almost every time
P215,276,Strongly matches,Strongly matches,Somewhat matches,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Never,Often
P216,4897,Somewhat matches,Somewhat matches,Somewhat matches,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Often
P217,638,Neutral,Neutral,Somewhat matches,Somewhat matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Post-collision motion trend|Relationship between the two ball sizes,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Sometimes,Sometimes
